626	6385195	72	32
627	6385656	9	7
628	6385726	316	136
629	6387788	1657	208
630	6395680	726	358
631	6400101	1165	374
632	6407014	311	201
633	6408940	54	30
634	6409312	43	23
635	6409601	69	36
636	6410048	11	6
637	6410125	129	55
638	6411005	1044	522
639	6417503	813	368
640	6422596	41	34
641	6422893	319	173
642	6424975	593	308
643	6428896	167	91
644	6430081	33	21
645	6430326	110	45
646	6431007	832	314
647	6436036	1038	539
648	6442351	139	50
649	6443182	418	209
650	6445911	734	258
651	6450210	54	29
652	6450563	1292	567
653	6458722	95	71
654	6459411	34	29
655	6459678	2336	743
656	6473256	5356	635
657	6498916	1496	567
658	6507638	1578	525
659	6516697	1846	530
660	6527335	1932	599
661	6538389	978	217
662	6544061	1538	572
663	6553371	364	162
664	6555557	139	64
665	6556411	504	124
666	6559359	1446	515
667	6568142	27	17
668	6568343	1925	253
669	6578295	70	38
670	6578797	1081	344
671	6585318	2276	467
672	6597698	2302	410
673	6610309	3125	668
674	6627727	290	120
675	6629554	3354	306
676	6646697	43	26
677	6647030	16	14
678	6647161	303	136
679	6649035	2159	802
680	6661556	465	273
681	6664639	311	222
682	6666755	171	79
683	6667928	297	104
684	6669702	151	72
685	6670618	700	250
686	6675027	10163	831
687	6722560	1446	818
688	6730878	70	34
689	6731308	261	83
690	6732765	317	194
691	6734889	1099	403
692	6741641	1690	562
693	6751473	32	28
694	6751706	349	212
695	6753946	559	226
696	6757278	929	207
697	6762434	1750	626
698	6772509	6	6
699	6772562	315	131
700	6774559	1776	650
701	6784884	115	67
702	6785651	7458	1091
703	6825575	901	503
704	6831329	2938	880
705	6848201	123	57
706	6849034	437	231
707	6851735	312	150
708	6853825	126	75
709	6854646	235	143
710	6856227	207	146
711	6857609	1542	544
712	6866647	35	30
713	6866905	16	16
714	6867034	68	44
715	6867517	41	24
716	6867798	254879	177
717	7888458	4544	1129
718	7914109	50	39
719	7914486	278	126
720	7916279	1036	508
721	7922842	45	31
722	7923171	1848	843
723	7934374	489	221
724	7937599	49	28
725	7937933	3	3
726	7937963	184	146
727	7939216	4	4
728	7939253	10	8
729	7939334	530	287
730	7942778	368	203
731	7945151	135	101
732	7946098	152	74
733	7947099	1056	474
734	7953603	972	481
735	7959805	94	70
736	7960465	14	9
737	7960567	130	89
738	7961472	148	104
739	7962454	60	47
740	7962882	29	18
741	7963086	4	4
742	7963124	86	61
743	7963711	13	13
744	7963816	6	6
745	7963872	31	11
746	7964071	5	4
747	7964115	1222	588
748	7971590	3	3
749	7971621	812	204
750	7976503	46	31
751	7976845	73	41
752	7977339	83	55
753	7977938	3	3
754	7977969	7	6
755	7978031	1030	355
756	7984241	52	43
757	7984632	11	10
758	7984720	5	5
759	7984767	3	3
760	7984798	136	42
761	7985508	57	27
762	7985862	16	13
763	7985985	6	6
764	7986041	611	352
765	7989912	121	60
766	7990749	130	94
767	7991630	275	196
768	7993433	94	52
769	7994028	2926	579
770	8009414	3311	435
771	8027528	8	8
772	8027600	974	481
773	8033811	156	106
774	8034856	193	82
775	8036057	232	96
776	8037501	326	171
777	8039689	381	159
778	8042052	167	76
779	8043150	9	7
780	8043226	24	10
781	8043387	7	6
782	8043451	4	4
